event_id,organisation_id,deal_id,deal_match_id,provider_id,actor_user_id,event_type,previous_status,new_status,metadata,created_at,synthetic
EV-S-001,ORG-DEMO-001,DEAL-SOUTHERN-001,,,USR-ALEX-001,DEAL_CREATED,,,Southern Manufacturing acquisition demo deal created,2026-09-25T08:55:00+12:00,true
EV-S-002,ORG-DEMO-001,DEAL-SOUTHERN-001,MATCH-SOUTHERN-ABC,CP-ABC-PRIVATE-CREDIT,USR-ALEX-001,PROVIDER_MATCHED,,NOT_CONTACTED,Score 94 is illustrative only,2026-09-25T09:00:00+12:00,true
EV-S-003,ORG-DEMO-001,DEAL-SOUTHERN-001,MATCH-SOUTHERN-ABC,CP-ABC-PRIVATE-CREDIT,USR-ALEX-001,STATUS_CHANGED,NOT_CONTACTED,CONTACTED,Initial approach sent in fictional demo,2026-09-25T09:15:00+12:00,true
EV-S-004,ORG-DEMO-001,DEAL-SOUTHERN-001,MATCH-SOUTHERN-ABC,CP-ABC-PRIVATE-CREDIT,USR-ALEX-001,STATUS_CHANGED,CONTACTED,INTERESTED,Fictional provider response,2026-09-26T10:00:00+12:00,true
EV-S-005,ORG-DEMO-001,DEAL-SOUTHERN-001,MATCH-SOUTHERN-SOUTHERN,CP-SOUTHERN-CAPITAL,USR-JORDAN-001,PROVIDER_MATCHED,,NOT_CONTACTED,Score 89 is illustrative only,2026-09-25T09:00:00+12:00,true
EV-S-006,ORG-DEMO-001,DEAL-SOUTHERN-001,MATCH-SOUTHERN-SOUTHERN,CP-SOUTHERN-CAPITAL,USR-JORDAN-001,STATUS_CHANGED,NOT_CONTACTED,CONTACTED,Initial approach sent in fictional demo,2026-09-25T10:00:00+12:00,true
EV-S-007,ORG-DEMO-001,DEAL-SOUTHERN-001,MATCH-SOUTHERN-SOUTHERN,CP-SOUTHERN-CAPITAL,USR-JORDAN-001,STATUS_CHANGED,CONTACTED,WAITING,Fictional response pending,2026-09-26T10:30:00+12:00,true
EV-S-008,ORG-DEMO-001,DEAL-SOUTHERN-001,MATCH-SOUTHERN-SOUTHERN,CP-SOUTHERN-CAPITAL,USR-JORDAN-001,FOLLOW_UP_SET,,,next_follow_up_at=2026-09-30T09:00:00+12:00,2026-09-26T10:31:00+12:00,true
EV-S-009,ORG-DEMO-001,DEAL-SOUTHERN-001,MATCH-SOUTHERN-HARBOUR,CP-HARBOUR-CREDIT,USR-ALEX-001,PROVIDER_MATCHED,,NOT_CONTACTED,Score 84 is illustrative only,2026-09-25T09:00:00+12:00,true
EV-S-010,ORG-DEMO-001,DEAL-SOUTHERN-001,MATCH-SOUTHERN-HARBOUR,CP-HARBOUR-CREDIT,USR-ALEX-001,STATUS_CHANGED,NOT_CONTACTED,CONTACTED,Initial approach sent in fictional demo,2026-09-25T11:00:00+12:00,true
